"","X.U.FEFF.","ticker","twin","name","exch","cat","country","stockNumber"
"A.P. Møller - Mærsk A/S.CPH.194",5926,"MAERSK-B.CO","x","A.P. Møller - Mærsk A/S","CPH","","Denmark",1
"A.P. Møller - Mærsk A/S.CPH.199",61495,"MAERSK-A.CO","x","A.P. Møller - Mærsk A/S","CPH","","Denmark",1
"AB Electrolux (publ).STO.562",28150,"ELUX-A.ST","x","AB Electrolux (publ)","STO","Electronic Equipment","Sweden",2
"AB Electrolux (publ).STO.565",29085,"ELUX-B.ST","x","AB Electrolux (publ)","STO","Electronic Equipment","Sweden",2
"AB Sagax.STO.509",28480,"SAGA-A.ST","x","AB Sagax","STO","","Sweden",3
"AB Sagax.STO.510",28663,"SAGA-B.ST","x","AB Sagax","STO","","Sweden",3
"AB Volvo (publ).FRA.85",102186,"VOL1.F","x","AB Volvo (publ)","FRA","","France",4
"AB Volvo (publ).FRA.86",102187,"VOL3.F","x","AB Volvo (publ)","FRA","","France",4
"AB Volvo (publ).STO.77",1135,"VOLV-B.ST","x","AB Volvo (publ)","STO","Trucks & Other Vehicles","Sweden",5
"AB Volvo (publ).STO.78",21868,"VOLV-A.ST","x","AB Volvo (publ)","STO","Trucks & Other Vehicles","Sweden",5
"ADDvise Group AB (publ).STO.600",30961,"ADDV-B.ST","x","ADDvise Group AB (publ)","STO","","Sweden",6
"ADDvise Group AB (publ).STO.601",102688,"ADDV-A.ST","x","ADDvise Group AB (publ)","STO","","Sweden",6
"AKITA Drilling Ltd..TOR.110",1490,"AKT-B.TO","x","AKITA Drilling Ltd.","TOR","Oil & Gas Drilling & Exploration","Canada",7
"AKITA Drilling Ltd..TOR.112",6232,"AKT-A.TO","x","AKITA Drilling Ltd.","TOR","Oil & Gas Drilling & Exploration","Canada",7
"Alimentation Couche-Tard Inc..TOR.71",1096,"ATD-B.TO","x","Alimentation Couche-Tard Inc.","TOR","Grocery Stores","Canada",8
"Alimentation Couche-Tard Inc..TOR.72",1244,"ATD-A.TO","x","Alimentation Couche-Tard Inc.","TOR","Grocery Stores","Canada",8
"Andrew Peller Limited.TOR.156",1506,"ADW-A.TO","x","Andrew Peller Limited","TOR","Independent Oil & Gas","Canada",9
"Andrew Peller Limited.TOR.157",1958,"ADW-B.TO","x","Andrew Peller Limited","TOR","Beverages - Wineries & Distillers","Canada",9
"Atlas Copco AB.STO.452",28197,"ATCO-B.ST","x","Atlas Copco AB","STO","Diversified Machinery","Sweden",10
"Atlas Copco AB.STO.453",28198,"ATCO-A.ST","x","Atlas Copco AB","STO","Diversified Machinery","Sweden",10
"BANCO DEL CARIBE, C.A. BANCO UN.CCS.330",22252,"ABC-B.CR","x","BANCO DEL CARIBE, C.A. BANCO UN","CCS","","Venezuela",11
"BANCO DEL CARIBE, C.A. BANCO UN.CCS.331",29146,"ABC-A.CR","x","BANCO DEL CARIBE, C.A. BANCO UN","CCS","","Venezuela",11
"Berkshire Hathaway Inc..NYQ.5",2028,"BRK-A","x","Berkshire Hathaway Inc.","NYQ","Property & Casualty Insurance","USA",12
"Berkshire Hathaway Inc..NYQ.6",2036,"BRK-B","x","Berkshire Hathaway Inc.","NYQ","","USA",12
"Bio-Rad Laboratories, Inc..NYQ.68",2145,"BIO","x","Bio-Rad Laboratories, Inc.","NYQ","Medical Laboratories & Research","USA",13
"Bio-Rad Laboratories, Inc..NYQ.69",47002,"BIO-B","x","Bio-Rad Laboratories, Inc.","NYQ","","USA",13
"Bombardier Inc..TOR.161",946,"BBD-A.TO","x","Bombardier Inc.","TOR","Aerospace/Defense - Major Diversified","Canada",14
"Bombardier Inc..TOR.162",2104,"BBD-B.TO","x","Bombardier Inc.","TOR","Aerospace/Defense - Major Diversified","Canada",14
"Brown-Forman Corporation.NYQ.14",1803,"BF-A","x","Brown-Forman Corporation","NYQ","","USA",15
"Brown-Forman Corporation.NYQ.15",2348,"BF-B","x","Brown-Forman Corporation","NYQ","Beverages - Wineries & Distillers","USA",15
"Carlsberg A/S.CPH.93",1227,"CARL-B.CO","x","Carlsberg A/S","CPH","","Denmark",16
"Carlsberg A/S.CPH.98",61473,"CARL-A.CO","x","Carlsberg A/S","CPH","","Denmark",16
"CCL Industries Inc..TOR.271",16604,"CCL-B.TO","x","CCL Industries Inc.","TOR","Packaging & Containers","Canada",17
"CCL Industries Inc..TOR.272",53529,"CCL-A.TO","x","CCL Industries Inc.","TOR","Packaging & Containers","Canada",17
"Centrais Elétricas Brasileiras S.A. - Eletrobras.FRA.53",30111,"L3XB.F","x","Centrais Elétricas Brasileiras S.A. - Eletrobras","FRA","","France",18
"Centrais Elétricas Brasileiras S.A. - Eletrobras.FRA.54",31085,"L3XC.F","x","Centrais Elétricas Brasileiras S.A. - Eletrobras","FRA","","France",18
"Chorus Aviation Inc..TOR.651",41659,"CHR-B.TO","x","Chorus Aviation Inc.","TOR","","Canada",19
"Chorus Aviation Inc..TOR.653",41748,"CHR-A.TO","x","Chorus Aviation Inc.","TOR","","Canada",19
"Crawford & Company.NYQ.63",20239,"CRD-B","x","Crawford & Company","NYQ","Insurance Brokers","USA",20
